,SUID,univid,response
100,3049.0,5c9e61c234cda4f3677e4d7b,Specialization
101,3049.0,5c9e49df34cda4f3677e3365,Practical relevance / professionalization
102,3049.0,5c9e60b434cda4f3677e4bbd,Specialization
103,3049.0,5c9e8f7734cda4f3677e795b,Academic excellence
104,1786.0,5c9e70bd34cda4f3677e621f,Specialization
105,1786.0,5c9e8ca934cda4f3677e74cd,Specialization
106,1786.0,5c9e3e0234cda4f3677e2009,Practical relevance / professionalization
107,1786.0,5c9e3aee34cda4f3677e1afd,Practical relevance / professionalization
108,1786.0,5e84a9f41ead1a77be3bd385,Academic excellence
109,1786.0,5e84a9f41ead1a77be3bd385,Academic excellence
110,2203.0,5c9e895334cda4f3677e7141,Internationality
111,2203.0,5c9e418d34cda4f3677e25c3,Academic excellence
112,2203.0,5c9e3ffb34cda4f3677e233b,Academic excellence
113,2203.0,5c9e7cb934cda4f3677e69ff,Specialization
114,2203.0,5c9e5fc334cda4f3677e4a29,Practical relevance / professionalization
115,2203.0,5c9e636734cda4f3677e5027,Specialization
116,2203.0,5c9e61c234cda4f3677e4d7b,Specialization
117,2203.0,5e84a9f41ead1a77be3bd385,Practical relevance / professionalization
118,2203.0,5e84a9f41ead1a77be3bd385,Practical relevance / professionalization
119,2203.0,5c9e49df34cda4f3677e3365,Internationality
120,2203.0,5c9e5c9634cda4f3677e44fb,Specialization
121,2203.0,5c9e884834cda4f3677e6f8b,Practical relevance / professionalization
122,2934.0,5c9e677634cda4f3677e5643,Internationality
123,2934.0,5c9e41e234cda4f3677e264d,Internationality
124,2934.0,5c9e63c734cda4f3677e50c3,Internationality
125,2934.0,5c9e5dbd34cda4f3677e46e7,Soft skills and digital literacy
126,170.0,5c9e5d6334cda4f3677e464d,Soft skills and digital literacy
127,170.0,5c9e7d5334cda4f3677e6b03,Internationality
128,170.0,5e8c6df1dc39552aa1e7bdf3,Internationality
129,2161.0,5c9e49f334cda4f3677e3385,Internationality
130,2161.0,5c9e5a4734cda4f3677e4135,Internationality
131,2161.0,5c9e8aa234cda4f3677e7365,Specialization
132,2161.0,5c9e7c2734cda4f3677e690f,Internationality
133,2161.0,5c9e5fc334cda4f3677e4a29,Academic excellence
134,2161.0,5e85b1eee7d33897f89a8d22,Practical relevance / professionalization
135,2161.0,5c9e4e2c34cda4f3677e3a6d,Specialization
136,2161.0,5c9e8c2b34cda4f3677e73fd,Specialization
137,2161.0,5c9e7bc334cda4f3677e6869,Soft skills and digital literacy
138,2161.0,5c9e519734cda4f3677e4003,Academic excellence
139,804.0,5c9e636634cda4f3677e5025,Soft skills and digital literacy
140,804.0,5c9e7d6034cda4f3677e6b19,Specialization
141,804.0,5e8c6df1dc39552aa1e7bdf3,Soft skills and digital literacy
142,804.0,5c9e373c34cda4f3677e14ef,Internationality
143,804.0,5c9e7d8334cda4f3677e6b4f,Practical relevance / professionalization
144,804.0,5c9e60b534cda4f3677e4bbf,Academic excellence
145,804.0,5c9e67b134cda4f3677e56a3,Academic excellence
146,804.0,5c9e64f934cda4f3677e521d,Academic excellence
147,804.0,5c9e7dfd34cda4f3677e6c17,Internationality
148,804.0,5c9e718634cda4f3677e6369,Specialization
149,804.0,5c9e636734cda4f3677e5027,Soft skills and digital literacy
150,2994.0,5c9e645734cda4f3677e51ab,Internationality
151,2994.0,5c9e35b234cda4f3677e126b,Practical relevance / professionalization
152,2994.0,5c9e4a0434cda4f3677e33a1,Internationality
153,2994.0,5c9e519734cda4f3677e4003,Specialization
154,2994.0,5c9e40c434cda4f3677e2481,Internationality
155,2994.0,5c9e3fa734cda4f3677e22b9,Specialization
156,2994.0,5c9e639934cda4f3677e5077,Internationality
157,2994.0,5c9e7d7a34cda4f3677e6b41,Specialization
158,2994.0,5c9e5cf434cda4f3677e4593,Specialization
159,2994.0,5c9e7d6934cda4f3677e6b27,Specialization
160,2994.0,5c9e636a34cda4f3677e502b,Practical relevance / professionalization
161,1140.0,5c9e4dfb34cda4f3677e3a15,Internationality
162,1140.0,5c9e5b5e34cda4f3677e42fb,Practical relevance / professionalization
163,1140.0,5c9e677634cda4f3677e5643,Internationality
164,1140.0,5c9e645734cda4f3677e51ab,Specialization
165,1140.0,5c9e6be834cda4f3677e5d83,Specialization
166,1140.0,5c9e4d6a34cda4f3677e3927,Internationality
167,1140.0,5c9e3a0b34cda4f3677e1989,Specialization
168,1140.0,5c9e3a5934cda4f3677e1a09,Practical relevance / professionalization
169,1140.0,5c9e361e34cda4f3677e131d,Internationality
170,1140.0,5c9e4c6234cda4f3677e378d,Internationality
171,1140.0,5c9e4b8634cda4f3677e3621,Internationality
172,577.0,5c9e4dfb34cda4f3677e3a15,Soft skills and digital literacy
173,577.0,5c9e645734cda4f3677e51ab,Specialization
174,577.0,5c9e6c1634cda4f3677e5dcf,Academic excellence
175,1097.0,5c9e4dfb34cda4f3677e3a15,Internationality
176,1097.0,5c9e3bc934cda4f3677e1c63,Soft skills and digital literacy
177,1097.0,5c9e677634cda4f3677e5643,Soft skills and digital literacy
178,1097.0,5c9e41e234cda4f3677e264d,Soft skills and digital literacy
179,1097.0,5e84b7141ead1a77be3bd39c,Soft skills and digital literacy
180,1097.0,5c9e63c734cda4f3677e50c3,Soft skills and digital literacy
181,1097.0,5c9e4dfa34cda4f3677e3a13,Soft skills and digital literacy
182,1097.0,5c9e8aa234cda4f3677e7365,Soft skills and digital literacy
183,1097.0,5e8c6ef9dc39552aa1e7bdfc,Soft skills and digital literacy
184,1097.0,5c9e3fc234cda4f3677e22e5,Soft skills and digital literacy
185,1097.0,5c9e496834cda4f3677e32a1,Soft skills and digital literacy
186,1097.0,5c9e3c9c34cda4f3677e1dbd,Soft skills and digital literacy
187,2256.0,5c9e3aee34cda4f3677e1afd,Specialization
188,2256.0,5c9e3aec34cda4f3677e1af9,Specialization
189,2256.0,5c9e3ab234cda4f3677e1a9b,Internationality
190,2256.0,5c9e3a5934cda4f3677e1a09,Soft skills and digital literacy
191,2256.0,5c9e39fd34cda4f3677e1971,Soft skills and digital literacy
192,2256.0,5e84a9f41ead1a77be3bd385,Soft skills and digital literacy
193,2256.0,5e84a9f41ead1a77be3bd385,Soft skills and digital literacy
194,2256.0,5c9e37ba34cda4f3677e15bf,Soft skills and digital literacy
195,2256.0,5c9e361e34cda4f3677e131d,Soft skills and digital literacy
196,2256.0,5c9e4b8f34cda4f3677e362f,Soft skills and digital literacy
197,2256.0,5c9e4b8a34cda4f3677e3629,Specialization
198,2256.0,5c9e49df34cda4f3677e3365,Specialization
199,2256.0,5c9e42ad34cda4f3677e279b,Specialization
200,2256.0,5c9e5c9634cda4f3677e44fb,Specialization
201,2256.0,5c9e635334cda4f3677e5005,Specialization
202,2256.0,5c9e8f7734cda4f3677e795b,Internationality
203,1856.0,5e84b6351ead1a77be3bd39a,Specialization
204,1856.0,5c9e7dd034cda4f3677e6bcd,Internationality
205,1856.0,5c9e470a34cda4f3677e2ec3,Internationality
206,1856.0,5c9e7cb934cda4f3677e69ff,Soft skills and digital literacy
207,1856.0,5c9e5a3234cda4f3677e4111,Soft skills and digital literacy
208,1856.0,5c9e515e34cda4f3677e3fa7,Soft skills and digital literacy
209,1856.0,5e85b1eee7d33897f89a8d22,Internationality
210,1856.0,5c9e636734cda4f3677e5027,Academic excellence
211,1856.0,5c9e49df34cda4f3677e3365,Academic excellence
212,1856.0,5c9e5c9634cda4f3677e44fb,Soft skills and digital literacy
213,2226.0,5c9e7c4034cda4f3677e6937,Internationality
214,2226.0,5c9e7e5734cda4f3677e6ca9,Internationality
215,2226.0,5c9e641a34cda4f3677e5149,Soft skills and digital literacy
216,2226.0,5c9e7a1634cda4f3677e65a3,Soft skills and digital literacy
217,2226.0,5c9e61c534cda4f3677e4d7f,Specialization
218,2226.0,5c9e4d6a34cda4f3677e3927,Internationality
219,2226.0,5c9e5a3234cda4f3677e4111,Soft skills and digital literacy
220,2226.0,5c9e409034cda4f3677e242b,Internationality
221,2226.0,5c9e67de34cda4f3677e56ed,Specialization
222,2226.0,5c9e61c234cda4f3677e4d7b,Practical relevance / professionalization
223,727.0,5e8c6df1dc39552aa1e7bdf3,Specialization
224,727.0,5c9e5c6c34cda4f3677e44b7,Practical relevance / professionalization
225,727.0,5c9e371c34cda4f3677e14b9,Practical relevance / professionalization
226,727.0,5c9e398d34cda4f3677e18c1,Practical relevance / professionalization
227,727.0,5c9e345f34cda4f3677e1047,Internationality
228,727.0,5c9e5bc734cda4f3677e43a7,Academic excellence
229,727.0,5c9e3ffb34cda4f3677e233b,Practical relevance / professionalization
230,727.0,5c9e4f5034cda4f3677e3c4f,Specialization
231,727.0,5c9e7cb934cda4f3677e69ff,Academic excellence
232,727.0,5c9e515e34cda4f3677e3fa7,Practical relevance / professionalization
233,382.0,5c9e70bd34cda4f3677e621f,Internationality
234,382.0,5c9e5b5e34cda4f3677e42fb,Soft skills and digital literacy
235,382.0,5e84b7141ead1a77be3bd39c,Soft skills and digital literacy
236,382.0,5c9e496834cda4f3677e32a1,Soft skills and digital literacy
237,382.0,5c9e6b2334cda4f3677e5c47,Practical relevance / professionalization
238,382.0,5c9e67db34cda4f3677e56e9,Soft skills and digital literacy
239,382.0,5e85b1eee7d33897f89a8d22,Soft skills and digital literacy
240,382.0,5c9e65e134cda4f3677e539d,Internationality
241,382.0,5c9e639034cda4f3677e5069,Soft skills and digital literacy
242,382.0,5c9e636734cda4f3677e5027,Soft skills and digital literacy
243,323.0,5c9e4dfb34cda4f3677e3a15,Specialization
244,323.0,5c9e7d6034cda4f3677e6b19,Specialization
245,323.0,5c9e7d8334cda4f3677e6b4f,Soft skills and digital literacy
246,323.0,5c9e470b34cda4f3677e2ec5,Soft skills and digital literacy
247,323.0,5c9e4e1334cda4f3677e3a3f,Internationality
248,323.0,5c9e349434cda4f3677e109f,Practical relevance / professionalization
249,323.0,5c9e4b9334cda4f3677e3635,Specialization
250,323.0,5c9e67db34cda4f3677e56e9,Specialization
251,323.0,5c9e410934cda4f3677e24f1,Specialization
252,323.0,5c9e409034cda4f3677e242b,Internationality
253,323.0,5c9e67de34cda4f3677e56ed,Practical relevance / professionalization
254,323.0,5c9e8d5d34cda4f3677e75f1,Practical relevance / professionalization
255,323.0,5c9e3d8a34cda4f3677e1f43,Practical relevance / professionalization
256,323.0,5c9e4dae34cda4f3677e3997,Internationality
257,1043.0,5c9e7e9e34cda4f3677e6d17,Soft skills and digital literacy
258,1043.0,5c9e644f34cda4f3677e519d,Soft skills and digital literacy
259,1043.0,5c9e66b034cda4f3677e54f5,Soft skills and digital literacy
260,1043.0,5c9e8e7c34cda4f3677e77c5,Soft skills and digital literacy
261,1043.0,5c9e5b2734cda4f3677e42a1,Soft skills and digital literacy
262,1043.0,5c9e645234cda4f3677e51a3,Internationality
263,1043.0,5c9e4e2c34cda4f3677e3a6d,Soft skills and digital literacy
264,1043.0,5c9e8c2b34cda4f3677e73fd,Internationality
265,1043.0,5c9e87f534cda4f3677e6f03,Specialization
266,1043.0,5c9e476434cda4f3677e2f55,Internationality
267,1043.0,5c9e678834cda4f3677e565f,Soft skills and digital literacy
268,1043.0,5c9e882634cda4f3677e6f51,Internationality
269,1043.0,5c9e519734cda4f3677e4003,Soft skills and digital literacy
270,1043.0,5c9e8d5d34cda4f3677e75f1,Soft skills and digital literacy
271,1043.0,5c9e3e0234cda4f3677e2009,Soft skills and digital literacy
272,1043.0,5c9e7db234cda4f3677e6b9b,Specialization
273,2902.0,5c9e70bd34cda4f3677e621f,Soft skills and digital literacy
274,2902.0,5c9e5d6334cda4f3677e464d,Soft skills and digital literacy
275,2902.0,5c9e677634cda4f3677e5643,Internationality
276,2902.0,5c9e645734cda4f3677e51ab,Soft skills and digital literacy
277,2902.0,5c9e6c1634cda4f3677e5dcf,Internationality
278,2902.0,5c9e373c34cda4f3677e14ef,Specialization
279,2902.0,5c9e4dfa34cda4f3677e3a13,Soft skills and digital literacy
280,2902.0,5c9e5a4734cda4f3677e4135,Internationality
281,2902.0,5e8c6ef9dc39552aa1e7bdfc,Internationality
282,2902.0,5e8c879823d6684db014ea30,Internationality
283,2902.0,5c9e496834cda4f3677e32a1,Specialization
284,1059.0,5c9e70bd34cda4f3677e621f,Internationality
285,1059.0,5c9e5b5e34cda4f3677e42fb,Soft skills and digital literacy
286,1059.0,5c9e7d6634cda4f3677e6b23,Specialization
287,1059.0,5c9e7d5334cda4f3677e6b03,Soft skills and digital literacy
288,1059.0,5c9e677634cda4f3677e5643,Soft skills and digital literacy
289,1059.0,5c9e645734cda4f3677e51ab,Internationality
290,1059.0,5c9e6c1634cda4f3677e5dcf,Soft skills and digital literacy
291,1059.0,5c9e5c6f34cda4f3677e44bd,Internationality
292,1059.0,5c9e498a34cda4f3677e32d9,Soft skills and digital literacy
293,1059.0,5c9e498a34cda4f3677e32d9,Soft skills and digital literacy
294,1059.0,5c9e5a4734cda4f3677e4135,Soft skills and digital literacy
295,1799.0,5c9e3bc934cda4f3677e1c63,Soft skills and digital literacy
296,1799.0,5c9e5b5e34cda4f3677e42fb,Internationality
297,1799.0,5c9e7d4d34cda4f3677e6af9,Specialization
298,1799.0,5c9e677634cda4f3677e5643,Specialization
299,1799.0,5c9e498834cda4f3677e32d7,Practical relevance / professionalization
300,1799.0,5c9e3aee34cda4f3677e1afd,Specialization
301,1799.0,5c9e61ba34cda4f3677e4d6d,Internationality
302,1799.0,5c9e60b434cda4f3677e4bbd,Specialization
303,854.0,5c9e4dfb34cda4f3677e3a15,Internationality
304,854.0,5c9e7d5334cda4f3677e6b03,Specialization
305,854.0,5c9e645734cda4f3677e51ab,Specialization
306,854.0,5c9e7d8334cda4f3677e6b4f,Specialization
307,854.0,5c9e498134cda4f3677e32c9,Practical relevance / professionalization
308,854.0,5c9e67c234cda4f3677e56bf,Practical relevance / professionalization
309,854.0,5c9e7eb934cda4f3677e6d45,Practical relevance / professionalization
310,854.0,5c9e70cf34cda4f3677e623d,Specialization
311,702.0,5c9e70bd34cda4f3677e621f,Soft skills and digital literacy
312,702.0,5c9e677634cda4f3677e5643,Soft skills and digital literacy
313,702.0,5c9e3ceb34cda4f3677e1e3d,Soft skills and digital literacy
314,702.0,5c9e3aec34cda4f3677e1af9,Soft skills and digital literacy
315,702.0,5c9e3ad634cda4f3677e1ad7,Soft skills and digital literacy
316,702.0,5c9e39f434cda4f3677e1963,Soft skills and digital literacy
317,702.0,5c9e371334cda4f3677e14a9,Soft skills and digital literacy
318,702.0,5c9e4b8634cda4f3677e3621,Internationality
319,702.0,5c9e42ad34cda4f3677e279b,Soft skills and digital literacy
320,702.0,5c9e7da234cda4f3677e6b81,Soft skills and digital literacy
321,702.0,5c9e4d8b34cda4f3677e395b,Soft skills and digital literacy
322,702.0,5c9e8d6834cda4f3677e7605,Soft skills and digital literacy
323,2695.0,5c9e5b5e34cda4f3677e42fb,Internationality
324,2695.0,5c9e7d6034cda4f3677e6b19,Internationality
325,2695.0,5c9e638234cda4f3677e5051,Specialization
326,1289.0,5e84b8a01ead1a77be3bd3a8,Soft skills and digital literacy
327,1289.0,5c9e470b34cda4f3677e2ec5,Soft skills and digital literacy
328,1289.0,5c9e470a34cda4f3677e2ec3,Soft skills and digital literacy
329,1289.0,5c9e6b2334cda4f3677e5c47,Soft skills and digital literacy
330,1289.0,5c9e4e1334cda4f3677e3a3f,Soft skills and digital literacy
331,1289.0,5c9e8ca934cda4f3677e74cd,Soft skills and digital literacy
332,1289.0,5c9e638a34cda4f3677e505d,Soft skills and digital literacy
333,1289.0,5c9e3e0234cda4f3677e2009,Internationality
334,1289.0,5c9e3fa734cda4f3677e22b9,Internationality
335,3040.0,5c9e70bd34cda4f3677e621f,Soft skills and digital literacy
336,3040.0,5c9e7c8b34cda4f3677e69b5,Internationality
337,3040.0,5c9e355834cda4f3677e11d9,Specialization
338,3040.0,5c9e4b4134cda4f3677e35a9,Soft skills and digital literacy
339,3040.0,5c9e7ea034cda4f3677e6d1b,Practical relevance / professionalization
340,3040.0,5c9e638a34cda4f3677e505d,Specialization
341,3040.0,5c9e5a7e34cda4f3677e418b,Internationality
342,3040.0,5c9e410934cda4f3677e24f1,Specialization
343,3040.0,5c9e3e0234cda4f3677e2009,Academic excellence
344,3040.0,5c9e3fa734cda4f3677e22b9,Specialization
345,3040.0,5c9e638234cda4f3677e5051,Specialization
346,3040.0,5c9e3ab234cda4f3677e1a9b,Specialization
347,3040.0,5c9e501934cda4f3677e3d99,Academic excellence
348,3040.0,5c9e7e3f34cda4f3677e6c81,Internationality
349,1881.0,5c9e7a6834cda4f3677e662b,Internationality
350,1881.0,5c9e498134cda4f3677e32c9,Soft skills and digital literacy
351,1881.0,5c9e67c234cda4f3677e56bf,Soft skills and digital literacy
352,1881.0,5c9e3a5934cda4f3677e1a09,Practical relevance / professionalization
353,1881.0,5c9e361e34cda4f3677e131d,Specialization
354,1881.0,5e8c8c5623d6684db014ea41,Specialization
355,1864.0,5c9e70bd34cda4f3677e621f,Internationality
356,1864.0,5c9e645734cda4f3677e51ab,Practical relevance / professionalization
357,631.0,5c9e7d8334cda4f3677e6b4f,Soft skills and digital literacy
358,631.0,5c9e88f634cda4f3677e70a3,Internationality
359,631.0,5c9e38d734cda4f3677e1795,Practical relevance / professionalization
360,631.0,5c9e616734cda4f3677e4ce7,Practical relevance / professionalization
361,631.0,5c9e471734cda4f3677e2ed7,Specialization
362,631.0,5c9e470a34cda4f3677e2ec3,Academic excellence
363,631.0,5c9e3ffb34cda4f3677e233b,Practical relevance / professionalization
364,631.0,5c9e4f5034cda4f3677e3c4f,Soft skills and digital literacy
365,631.0,5c9e7d3134cda4f3677e6ac9,Internationality
366,631.0,5c9e7cb934cda4f3677e69ff,Specialization
367,631.0,5c9e636734cda4f3677e5027,Academic excellence
368,631.0,5c9e61c234cda4f3677e4d7b,Academic excellence
369,631.0,5c9e3a5934cda4f3677e1a09,Internationality
370,631.0,5c9e37ba34cda4f3677e15bf,Internationality
371,631.0,5c9e4c6234cda4f3677e378d,Specialization
372,631.0,5c9e61ba34cda4f3677e4d6d,Internationality
373,865.0,5c9e3ceb34cda4f3677e1e3d,Soft skills and digital literacy
374,865.0,5c9e3d8a34cda4f3677e1f43,Soft skills and digital literacy
375,865.0,5c9e3aec34cda4f3677e1af9,Internationality
376,865.0,5c9e3abf34cda4f3677e1ab1,Soft skills and digital literacy
377,865.0,5e84a9f41ead1a77be3bd385,Practical relevance / professionalization
378,865.0,5e84a9f41ead1a77be3bd385,Practical relevance / professionalization
379,865.0,5c9e37ba34cda4f3677e15bf,Specialization
380,865.0,5c9e4c6234cda4f3677e378d,Specialization
381,865.0,5c9e49df34cda4f3677e3365,Academic excellence
382,865.0,5c9e5c9634cda4f3677e44fb,Specialization
383,865.0,5c9e7c2034cda4f3677e6901,Specialization
384,865.0,5c9e636a34cda4f3677e502b,Specialization
385,2263.0,5e8c6df1dc39552aa1e7bdf3,Soft skills and digital literacy
386,2263.0,5c9e41e234cda4f3677e264d,Practical relevance / professionalization
387,2263.0,5c9e60b534cda4f3677e4bbf,Practical relevance / professionalization
388,2263.0,5c9e67b134cda4f3677e56a3,Practical relevance / professionalization
389,2263.0,5c9e4dfa34cda4f3677e3a13,Internationality
390,2263.0,5c9e496834cda4f3677e32a1,Specialization
391,2263.0,5c9e7ea034cda4f3677e6d1b,Practical relevance / professionalization
392,2263.0,5c9e470b34cda4f3677e2ec5,Practical relevance / professionalization
393,2263.0,5c9e7e5734cda4f3677e6ca9,Practical relevance / professionalization
394,2263.0,5c9e70cf34cda4f3677e623d,Internationality
395,2263.0,5c9e34f634cda4f3677e113b,Specialization
396,2263.0,5c9e63ee34cda4f3677e5101,Specialization
397,2263.0,5c9e882334cda4f3677e6f4b,Specialization
398,2263.0,5c9e637534cda4f3677e503d,Specialization
399,2263.0,5c9e637034cda4f3677e5035,Internationality
400,2263.0,5c9e636d34cda4f3677e502f,Specialization
401,774.0,5c9e4dfb34cda4f3677e3a15,Internationality
402,755.0,5c9e70bd34cda4f3677e621f,Soft skills and digital literacy
403,755.0,5c9e636634cda4f3677e5025,Specialization
404,755.0,5c9e7d6034cda4f3677e6b19,Practical relevance / professionalization
405,755.0,5c9e7d4d34cda4f3677e6af9,Internationality
406,755.0,5c9e6be834cda4f3677e5d83,Practical relevance / professionalization
407,755.0,5c9e3fc034cda4f3677e22e3,Academic excellence
408,755.0,5e84b4001ead1a77be3bd395,Practical relevance / professionalization
409,755.0,5c9e4b4134cda4f3677e35a9,Practical relevance / professionalization
410,755.0,5c9e7ea634cda4f3677e6d25,Specialization
411,755.0,5c9e498d34cda4f3677e32df,Specialization
412,755.0,5c9e7e5734cda4f3677e6ca9,Academic excellence
413,113.0,5c9e4dfb34cda4f3677e3a15,Specialization
414,113.0,5e8c6df1dc39552aa1e7bdf3,Specialization
415,113.0,5c9e6be834cda4f3677e5d83,Specialization
416,113.0,5c9e60cb34cda4f3677e4be3,Specialization
417,113.0,5c9e38ed34cda4f3677e17bb,Specialization
418,113.0,5c9e638a34cda4f3677e505d,Practical relevance / professionalization
419,113.0,5c9e8d5d34cda4f3677e75f1,Specialization
